Speed (without acceleration),Angle speed,First ticks per step,Ticks per Step,Steps per Second,Max angle before gravity,Max angle before reset
2696,239,24,18.00,1.67,56342,111288
2697,240,24,18.00,1.67,56459,111475
2698,241,24,18.00,1.67,56576,111662
2699,242,24,18.00,1.67,56693,111849
2700,243,24,18.00,1.67,56810,112036
2701,244,24,18.00,1.67,56927,112223
2702,245,24,18.00,1.67,57044,112410
2703,246,24,18.00,1.67,57161,112597
2704,247,24,18.00,1.67,57278,112784
2705,248,24,17.50,1.71,54273,109300
2706,249,24,17.50,1.71,54378,109472
2707,250,24,17.50,1.71,54488,109650
2708,251,24 18,17.00,1.76,51474,106148
2709,252,24 18,17.00,1.76,51576,106316
2710,253,24 18,17.00,1.76,51666,106468
2711,254,23 18,17.00,1.76,51768,106636
2712,255,23 18,17.00,1.76,51870,106804
2713,256,23 18,17.00,1.76,51972,106972
2714,257,23 18,17.00,1.76,52074,107140
2715,258,23 18,17.00,1.76,52176,107308
2716,259,23 18,17.00,1.76,52278,107476
2717,260,23 18,17.00,1.76,52380,107644
2718,261,23,17.00,1.76,52470,107796
2719,262,23,17.00,1.76,52572,107964
2720,263,23,17.00,1.76,52674,108132
2721,264,23,17.00,1.76,52776,108300
2722,265,23,17.00,1.76,52878,108468
2723,266,23,17.00,1.76,52980,108636
2724,267,23,17.00,1.76,53082,108804
2725,268,23,17.00,1.76,53184,108972
2726,269,23,17.00,1.76,53286,109140
2727,270,23,17.00,1.76,53376,109292
2728,271,23,17.00,1.76,53478,109460
2729,272,23,17.00,1.76,53580,109628
2730,273,23,17.00,1.76,53682,109796
2731,274,23,17.00,1.76,53784,109964
2732,275,23,17.00,1.76,53886,110132
2733,276,23,17.00,1.76,53988,110300
2734,277,23,17.00,1.76,54090,110468
2735,278,23,17.00,1.76,54192,110636
2736,279,23,17.00,1.76,54282,110788
2737,280,23,17.00,1.76,54384,110956
2738,281,22,17.00,1.76,54486,111124
2739,282,22,17.00,1.76,54588,111292
2740,283,22,17.00,1.76,54690,111460
2741,284,22,17.00,1.76,54792,111628
2742,285,22,17.00,1.76,54894,111796
2743,286,22,17.00,1.76,54996,111964
2744,287,22,17.00,1.76,55098,112132
2745,288,22,17.00,1.76,55188,112284
2746,289,22,17.00,1.76,55290,112452
2747,290,22,17.00,1.76,55392,112620
2748,291,22,17.00,1.76,55494,112788
2749,292,22,17.00,1.76,55596,112956
2750,293,22,17.00,1.76,55698,113124
2751,294,22,17.00,1.76,55800,113292
2752,295,22,17.00,1.76,55902,113460
2753,296,22,17.00,1.76,56004,113628
2754,297,22,17.00,1.76,56094,113780
2755,298,22,17.00,1.76,56196,113948
2756,299,22,17.00,1.76,56298,114116
2757,300,22,17.00,1.76,56400,114284
2758,301,22,17.00,1.76,56502,114452
2759,302,22,17.00,1.76,56604,114620
2760,303,22,17.00,1.76,56706,114788
2761,304,22,17.00,1.76,56808,114956
2762,305,22,17.00,1.76,56910,115124
2763,306,22,17.00,1.76,57000,115276
2764,307,22,17.00,1.76,57102,115444
2765,308,22,17.00,1.76,57204,115612
2766,309,22,17.00,1.76,57306,115780
2767,310,22,16.50,1.82,53971,111825
2768,311,22,16.50,1.82,54056,111972
2769,312,21,16.50,1.82,54145,112123
2770,313,21,16.50,1.82,54240,112282
2771,314,21 17,16.00,1.88,50886,108294
2772,315,21 17,16.00,1.88,50974,108444
2773,316,21 17,16.00,1.88,51051,108579
2774,317,21 17,16.00,1.88,51139,108729
2775,318,21 17,16.00,1.88,51227,108879
2776,319,21 17,16.00,1.88,51315,109029
2777,320,21 17,16.00,1.88,51392,109164
2778,321,21 17,16.00,1.88,51480,109314
2779,322,21 17,16.00,1.88,51568,109464
2780,323,21 17,16.00,1.88,51656,109614
2781,324,21,16.00,1.88,51733,109749
2782,325,21,16.00,1.88,51821,109899
2783,326,21,16.00,1.88,51909,110049
2784,327,21,16.00,1.88,51997,110199
2785,328,21,16.00,1.88,52085,110349
2786,329,21,16.00,1.88,52162,110484
2787,330,21,16.00,1.88,52250,110634
2788,331,21,16.00,1.88,52338,110784
2789,332,21,16.00,1.88,52426,110934
2790,333,21,16.00,1.88,52503,111069
2791,334,21,16.00,1.88,52591,111219
2792,335,21,16.00,1.88,52679,111369
2793,336,21,16.00,1.88,52767,111519
2794,337,21,16.00,1.88,52855,111669
2795,338,21,16.00,1.88,52932,111804
2796,339,21,16.00,1.88,53020,111954
2797,340,21,16.00,1.88,53108,112104
2798,341,21,16.00,1.88,53196,112254
2799,342,21,16.00,1.88,53273,112389
2800,343,21,16.00,1.88,53361,112539
2801,344,21,16.00,1.88,53449,112689
2802,345,21,16.00,1.88,53537,112839
2803,346,21,16.00,1.88,53625,112989
2804,347,21,16.00,1.88,53702,113124
2805,348,21,16.00,1.88,53790,113274
2806,349,20,16.00,1.88,53878,113424
2807,350,20,16.00,1.88,53966,113574
2808,351,20,16.00,1.88,54043,113709
2809,352,20,16.00,1.88,54131,113859
2810,353,20,16.00,1.88,54219,114009
2811,354,20,16.00,1.88,54307,114159
2812,355,20,16.00,1.88,54395,114309
2813,356,20,16.00,1.88,54472,114444
2814,357,20,16.00,1.88,54560,114594
2815,358,20,16.00,1.88,54648,114744
2816,359,20,16.00,1.88,54736,114894
2817,360,20,16.00,1.88,54813,115029
2818,361,20,16.00,1.88,54901,115179
2819,362,20,16.00,1.88,54989,115329
2820,363,20,16.00,1.88,55077,115479
2821,364,20,16.00,1.88,55165,115629
2822,365,20,16.00,1.88,55242,115764
2823,366,20,16.00,1.88,55330,115914
2824,367,20,16.00,1.88,55418,116064
2825,368,20,16.00,1.88,55506,116214
2826,369,20,16.00,1.88,55583,116349
2827,370,20,16.00,1.88,55671,116499
2828,371,20,16.00,1.88,55759,116649
2829,372,20,16.00,1.88,55847,116799
2830,373,20,16.00,1.88,55935,116949
2831,374,20,16.00,1.88,56012,117084
2832,375,20,16.00,1.88,56100,117234
2833,376,20,16.00,1.88,56188,117384
2834,377,20,16.00,1.88,56276,117534
2835,378,20,16.00,1.88,56353,117669
2836,379,20,16.00,1.88,56441,117819
2837,380,20,16.00,1.88,56529,117969
2838,381,20,16.00,1.88,56617,118119
2839,382,20,16.00,1.88,56705,118269
2840,383,20,16.00,1.88,56782,118404
2841,384,20,16.00,1.88,56870,118554
2842,385,20,16.00,1.88,56958,118704
2843,386,20,16.00,1.88,57046,118854
2844,387,20,16.00,1.88,57123,118989
2845,388,20,16.00,1.88,57211,119139
2846,389,20,16.00,1.88,57299,119289
2847,390,20,15.67,1.91,54965,116485
2848,391,20,15.50,1.94,53650,114895
2849,392,19,15.50,1.94,53726,115029
2850,393,19,15.50,1.94,53802,115163
2851,394,19,15.50,1.94,53884,115305
2852,395,19,15.33,1.96,52804,114037
2853,396,19 16,15.00,2,50220,110880
2854,397,19 16,15.00,2,50285,110999
2855,398,19 16,15.00,2,50360,111132
2856,399,19 16,15.00,2,50435,111265
2857,400,19 16,15.00,2,50500,111384
2858,401,19 16,15.00,2,50575,111517
2859,402,19 16,15.00,2,50650,111650
2860,403,19 16,15.00,2,50715,111769
2861,404,19 16,15.00,2,50790,111902
2862,405,19 16,15.00,2,50865,112035
2863,406,19 16,15.00,2,50930,112154
2864,407,19,15.00,2,51005,112287
2865,408,19,15.00,2,51070,112406
2866,409,19,15.00,2,51145,112539
2867,410,19,15.00,2,51220,112672
2868,411,19,15.00,2,51285,112791
2869,412,19,15.00,2,51360,112924
2870,413,19,15.00,2,51435,113057
2871,414,19,15.00,2,51500,113176
2872,415,19,15.00,2,51575,113309
2873,416,19,15.00,2,51650,113442
2874,417,19,15.00,2,51715,113561
2875,418,19,15.00,2,51790,113694
2876,419,19,15.00,2,51865,113827
2877,420,19,15.00,2,51930,113946
2878,421,19,15.00,2,52005,114079
2879,422,19,15.00,2,52080,114212
2880,423,19,15.00,2,52145,114331
2881,424,19,15.00,2,52220,114464
2882,425,19,15.00,2,52295,114597
2883,426,19,15.00,2,52360,114716
2884,427,19,15.00,2,52435,114849
2885,428,19,15.00,2,52510,114982
2886,429,19,15.00,2,52575,115101
2887,430,19,15.00,2,52650,115234
2888,431,19,15.00,2,52725,115367
2889,432,19,15.00,2,52790,115486
2890,433,19,15.00,2,52865,115619
2891,434,19,15.00,2,52940,115752
2892,435,19,15.00,2,53005,115871
2893,436,19,15.00,2,53080,116004
2894,437,19,15.00,2,53155,116137
2895,438,19,15.00,2,53220,116256
2896,439,19,15.00,2,53295,116389
2897,440,19,15.00,2,53370,116522
2898,441,19,15.00,2,53435,116641
2899,442,19,15.00,2,53510,116774
2900,443,19,15.00,2,53585,116907
2901,444,18,15.00,2,53650,117026
2902,445,18,15.00,2,53725,117159
2903,446,18,15.00,2,53800,117292
2904,447,18,15.00,2,53865,117411
2905,448,18,15.00,2,53940,117544
2906,449,18,15.00,2,54015,117677
2907,450,18,15.00,2,54080,117796
2908,451,18,15.00,2,54155,117929
2909,452,18,15.00,2,54230,118062
2910,453,18,15.00,2,54295,118181
2911,454,18,15.00,2,54370,118314
2912,455,18,15.00,2,54445,118447
2913,456,18,15.00,2,54510,118566
2914,457,18,15.00,2,54585,118699
2915,458,18,15.00,2,54660,118832
2916,459,18,15.00,2,54725,118951
2917,460,18,15.00,2,54800,119084
2918,461,18,15.00,2,54875,119217
2919,462,18,15.00,2,54940,119336
2920,463,18,15.00,2,55015,119469
2921,464,18,15.00,2,55090,119602
2922,465,18,15.00,2,55155,119721
2923,466,18,15.00,2,55230,119854
2924,467,18,15.00,2,55305,119987
2925,468,18,15.00,2,55370,120106
2926,469,18,15.00,2,55445,120239
2927,470,18,15.00,2,55520,120372
2928,471,18,15.00,2,55585,120491
2929,472,18,15.00,2,55660,120624
2930,473,18,15.00,2,55735,120757
2931,474,18,15.00,2,55800,120876
2932,475,18,15.00,2,55875,121009
2933,476,18,15.00,2,55950,121142
2934,477,18,15.00,2,56015,121261
2935,478,18,15.00,2,56090,121394
2936,479,18,15.00,2,56165,121527
2937,480,18,15.00,2,56230,121646
2938,481,18,15.00,2,56305,121779
2939,482,18,15.00,2,56380,121912
2940,483,18,15.00,2,56445,122031
2941,484,18,15.00,2,56520,122164
2942,485,18,15.00,2,56595,122297
2943,486,18,15.00,2,56660,122416
2944,487,18,15.00,2,56735,122549
2945,488,18,15.00,2,56810,122682
2946,489,18,15.00,2,56875,122801
2947,490,18,15.00,2,56950,122934
2948,491,18,15.00,2,57025,123067
2949,492,18,15.00,2,57090,123186
2950,493,18,15.00,2,57165,123319
2951,494,18,15.00,2,57240,123452
2952,495,18,15.00,2,57305,123571
2953,496,18,14.67,2.04,54697,120349
2954,497,18,14.50,2.07,53191,118469
2955,498,18,14.50,2.07,53251,118581
2956,499,18,14.50,2.07,53320,118706
2957,500,18,14.50,2.07,53384,118824
2958,501,18,14.50,2.07,53448,118942
2959,502,18,14.50,2.07,53512,119060
2960,503,18,14.33,2.09,52024,117194
2961,504,18 15,14.00,2.14,49392,113932
2962,505,18 15,14.00,2.14,49446,114036
2963,506,18 15,14.00,2.14,49509,114153
2964,507,18 15,14.00,2.14,49563,114257
2965,508,17 15,14.00,2.14,49626,114374
2966,509,17 15,14.00,2.14,49680,114478
2967,510,17 15,14.00,2.14,49743,114595
2968,511,17 15,14.00,2.14,49797,114699
2969,512,17 15,14.00,2.14,49860,114816
2970,513,17 15,14.00,2.14,49923,114933
2971,514,17 15,14.00,2.14,49977,115037
2972,515,17 15,14.00,2.14,50040,115154
2973,516,17 15,14.00,2.14,50094,115258
2974,517,17,14.00,2.14,50157,115375
2975,518,17,14.00,2.14,50211,115479
2976,519,17,14.00,2.14,50274,115596
2977,520,17,14.00,2.14,50328,115700
2978,521,17,14.00,2.14,50391,115817
2979,522,17,14.00,2.14,50445,115921
2980,523,17,14.00,2.14,50508,116038
2981,524,17,14.00,2.14,50571,116155
2982,525,17,14.00,2.14,50625,116259
2983,526,17,14.00,2.14,50688,116376
2984,527,17,14.00,2.14,50742,116480
2985,528,17,14.00,2.14,50805,116597
2986,529,17,14.00,2.14,50859,116701
2987,530,17,14.00,2.14,50922,116818
2988,531,17,14.00,2.14,50976,116922
2989,532,17,14.00,2.14,51039,117039
2990,533,17,14.00,2.14,51102,117156
2991,534,17,14.00,2.14,51156,117260
2992,535,17,14.00,2.14,51219,117377
2993,536,17,14.00,2.14,51273,117481
2994,537,17,14.00,2.14,51336,117598
2995,538,17,14.00,2.14,51390,117702
2996,539,17,14.00,2.14,51453,117819
2997,540,17,14.00,2.14,51507,117923
2998,541,17,14.00,2.14,51570,118040
2999,542,17,14.00,2.14,51633,118157
3000,543,17,14.00,2.14,51687,118261
3001,544,17,14.00,2.14,51750,118378
3002,545,17,14.00,2.14,51804,118482
3003,546,17,14.00,2.14,51867,118599
3004,547,17,14.00,2.14,51921,118703
3005,548,17,14.00,2.14,51984,118820
3006,549,17,14.00,2.14,52038,118924
3007,550,17,14.00,2.14,52101,119041
3008,551,17,14.00,2.14,52164,119158
3009,552,17,14.00,2.14,52218,119262
3010,553,17,14.00,2.14,52281,119379
3011,554,17,14.00,2.14,52335,119483
3012,555,17,14.00,2.14,52398,119600
3013,556,17,14.00,2.14,52452,119704
3014,557,17,14.00,2.14,52515,119821
3015,558,17,14.00,2.14,52569,119925
3016,559,17,14.00,2.14,52632,120042
3017,560,17,14.00,2.14,52695,120159
3018,561,17,14.00,2.14,52749,120263
3019,562,17,14.00,2.14,52812,120380
3020,563,17,14.00,2.14,52866,120484
3021,564,17,14.00,2.14,52929,120601
3022,565,17,14.00,2.14,52983,120705
3023,566,17,14.00,2.14,53046,120822
3024,567,17,14.00,2.14,53100,120926
3025,568,17,14.00,2.14,53163,121043
3026,569,17,14.00,2.14,53226,121160
3027,570,17,14.00,2.14,53280,121264
3028,571,17,14.00,2.14,53343,121381
3029,572,17,14.00,2.14,53397,121485
3030,573,17,14.00,2.14,53460,121602
3031,574,17,14.00,2.14,53514,121706
3032,575,17,14.00,2.14,53577,121823
3033,576,17,14.00,2.14,53631,121927
3034,577,17,14.00,2.14,53694,122044
3035,578,17,14.00,2.14,53757,122161
3036,579,17,14.00,2.14,53811,122265
3037,580,17,14.00,2.14,53874,122382
3038,581,17,14.00,2.14,53928,122486
3039,582,17,14.00,2.14,53991,122603
3040,583,17,14.00,2.14,54045,122707
3041,584,17,14.00,2.14,54108,122824
3042,585,17,14.00,2.14,54162,122928
3043,586,16,14.00,2.14,54225,123045
3044,587,16,14.00,2.14,54288,123162
3045,588,16,14.00,2.14,54342,123266
3046,589,16,14.00,2.14,54405,123383
3047,590,16,14.00,2.14,54459,123487
3048,591,16,14.00,2.14,54522,123604
3049,592,16,14.00,2.14,54576,123708
3050,593,16,14.00,2.14,54639,123825
3051,594,16,14.00,2.14,54693,123929
3052,595,16,14.00,2.14,54756,124046
3053,596,16,14.00,2.14,54819,124163
3054,597,16,14.00,2.14,54873,124267
3055,598,16,14.00,2.14,54936,124384
3056,599,16,14.00,2.14,54990,124488
3057,600,16,14.00,2.14,55053,124605
3058,601,16,14.00,2.14,55107,124709
3059,602,16,14.00,2.14,55170,124826
3060,603,16,14.00,2.14,55224,124930
3061,604,16,14.00,2.14,55287,125047
3062,605,16,14.00,2.14,55350,125164
3063,606,16,14.00,2.14,55404,125268
3064,607,16,14.00,2.14,55467,125385
3065,608,16,14.00,2.14,55521,125489
3066,609,16,14.00,2.14,55584,125606
3067,610,16,14.00,2.14,55638,125710
3068,611,16,14.00,2.14,55701,125827
3069,612,16,14.00,2.14,55755,125931
3070,613,16,14.00,2.14,55818,126048
3071,614,16,14.00,2.14,55881,126165
3072,615,16,14.00,2.14,55935,126269
3073,616,16,14.00,2.14,55998,126386
3074,617,16,14.00,2.14,56052,126490
3075,618,16,14.00,2.14,56115,126607
3076,619,16,14.00,2.14,56169,126711
3077,620,16,14.00,2.14,56232,126828
3078,621,16,14.00,2.14,56286,126932
3079,622,16,13.67,2.19,53007,113576
3080,623,16,13.67,2.19,56057,118003
3081,624,16,13.67,2.19,56120,118115
3082,625,16,13.67,2.19,56174,118214
3083,626,16,13.67,2.19,56237,118326
3084,627,16,13.67,2.19,56291,118426
3085,628,16,13.50,2.22,53929,110722
3086,629,16,13.50,2.22,53987,110825
3087,630,16,13.50,2.22,54050,110935
3088,631,16,13.50,2.22,54104,111032
3089,632,16,13.50,2.22,54163,111135
3090,633,16,13.50,2.22,54221,111238
3091,634,16,13.50,2.22,54280,111341
3092,635,16,13.50,2.22,54338,111445
3093,636,16,13.50,2.22,54397,111548
3094,637,16,13.50,2.22,54462,111625
3095,638,16,13.50,2.22,54520,111728
3096,639,16,13.50,2.22,54579,111831
3097,640,16,13.50,2.22,54637,111934
3098,641,16,13.50,2.22,54691,112031
3099,642,16,13.50,2.22,54754,112141
3100,643,16,13.50,2.22,54813,112244
3101,644,16,13.50,2.22,54871,112347
3102,645,16,13.50,2.22,54930,112450
3103,646,16,13.50,2.22,54988,112554
3104,647,16,13.50,2.22,55047,112657
3105,648,16,13.33,2.25,55771,109355
3106,649,16,13.33,2.25,55834,109462
3107,650,16 14,13.00,2.31,48376,117648
3108,651,16 14,13.00,2.31,48428,117750
3109,652,16 14,13.00,2.31,48472,117840
